"","country","1.A","1.B","1.C","1.D","2.A","2.B","2.C","2.E","3.A"
"1","Albania",0,0,0,0,0,0,0,0,2
"2","Angola",2,0,2,0,6,3,1,4,0
"3","Bangladesh",0,0,0,0,3,4,4,0,2
"4","Benin",8,1,3,4,5,1,2,1,0
"5","Botswana",7,1,2,2,4,1,1,0,0
"6","Brazil",2,2,2,0,7,3,3,0,2
"7","Bulgaria",0,0,0,0,3,0,0,0,2
"8","Burkina Faso",7,1,2,0,5,3,3,2,0
"9","Burundi",1,0,1,0,1,0,3,0,0
"10","Cape Verde",9,0,6,3,3,1,1,1,0
"11","Cambodia",0,0,0,0,1,0,0,0,0
"12","Cameroon",8,0,3,4,4,4,0,4,0
"13","Central African Republic",1,0,1,0,3,0,2,0,0
"14","Chad",2,0,2,0,2,5,2,4,0
"15","Colombia",3,1,2,0,1,3,3,0,1
"16","Comoros",6,4,7,0,3,3,4,2,0
"17","Congo",0,2,1,0,0,0,0,0,0
